"model","confidence","return_quantile","var","es","loss_var","loss_es","runtime_seconds","status","engine","warning_status"
"historical",0.95,-0.0345876557743999,0.0345876557743999,0.0563079566649121,0.0345876557743999,0.0563079566649121,0.0100000000000002,"ok","analytical_or_empirical",""
"historical",0.99,-0.0640856997147608,0.0640856997147608,0.100810434951857,0.0640856997147608,0.100810434951857,0,"ok","analytical_or_empirical",""
"gaussian",0.95,-0.0365445460126289,0.0365445460126289,0.0460234164797555,0.0365445460126289,0.0460234164797555,0,"ok","analytical_or_empirical",""
"gaussian",0.99,-0.0520038107430517,0.0520038107430517,0.0596907788695377,0.0520038107430517,0.0596907788695377,0,"ok","analytical_or_empirical",""
"student_t",0.95,-0.0324853911877581,0.0324853911877581,0.0506983012007219,0.0324853911877581,0.0506983012007219,0.02,"ok","analytical_or_empirical",""
"student_t",0.99,-0.0595402959940742,0.0595402959940742,0.0860854783282724,0.0595402959940742,0.0860854783282724,0,"ok","analytical_or_empirical",""
"ewma",0.95,-0.0199973010156382,0.0199973010156382,0.0261183016500382,0.0199973010156382,0.0261183016500382,0,"ok","analytical_or_empirical",""
"ewma",0.99,-0.0299801538830179,0.0299801538830179,0.034944029794395,0.0299801538830179,0.034944029794395,0,"ok","analytical_or_empirical",""
"filtered_historical",0.95,-0.0255053626748313,0.0255053626748313,0.0396735328046917,0.0255053626748313,0.0396735328046917,0,"ok","analytical_or_empirical",""
"filtered_historical",0.99,-0.0506178417209194,0.0506178417209194,0.0696836539069677,0.0506178417209194,0.0696836539069677,0,"ok","analytical_or_empirical",""
"garch_t",0.95,-0.021351626384913,0.021351626384913,0.0308940187946578,0.021351626384913,0.0308940187946578,0.36,"ok","rugarch",""
"garch_t",0.99,-0.0362190211876279,0.0362190211876279,0.0474717775774213,0.0362190211876279,0.0474717775774213,0.359999999999999,"ok","rugarch",""
