"model_id","engine","arma_p","arma_q","garch_p","garch_q","volatility_family","distribution","convergence","parameter_valid","aic","bic","residual_ljung_box_p","squared_residual_ljung_box_p","pit_ks_p","pit_diagnostic_role","diagnostics_passed","rejection_reason","runtime_seconds","rank","selected","asset"
"arma00_sgarch11_std","rugarch",0,0,1,1,"sGARCH","std",TRUE,TRUE,-4.99454518243938,-4.97531434578509,0.105524853026941,0.0882659331488108,0.241022619305356,"exploratory_only",TRUE,"",0.17,18,FALSE,"^FTSE"
"arma00_sgarch11_sstd","rugarch",0,0,1,1,"sGARCH","sstd",TRUE,TRUE,-5.00961758418582,-4.98654058020067,0.122307234419618,0.104784683902735,0.353431491334236,"exploratory_only",TRUE,"",0.22,16,FALSE,"^FTSE"
"arma00_egarch11_std","rugarch",0,0,1,1,"eGARCH","std",TRUE,TRUE,-5.03985903815858,-5.01678203417343,0.0317244224142161,0.334226545550849,0.054693468111543,"exploratory_only",TRUE,"",0.33,8,FALSE,"^FTSE"
"arma00_egarch11_sstd","rugarch",0,0,1,1,"eGARCH","sstd",TRUE,TRUE,-5.06366770448593,-5.03674453316992,0.0505186987017482,0.491649018675065,0.964902863170324,"exploratory_only",TRUE,"",0.54,1,TRUE,"^FTSE"
"arma00_gjrgarch11_std","rugarch",0,0,1,1,"gjrGARCH","std",TRUE,TRUE,-5.02736394025272,-5.00428693626757,0.0976284821751776,0.325885088118794,0.0784498816870762,"exploratory_only",TRUE,"",0.46,12,FALSE,"^FTSE"
"arma00_gjrgarch11_sstd","rugarch",0,0,1,1,"gjrGARCH","sstd",TRUE,TRUE,-5.04918621914114,-5.02226304782512,0.135959296195334,0.310377881533698,0.927077769234272,"exploratory_only",TRUE,"",0.640000000000001,6,FALSE,"^FTSE"
"arma01_sgarch11_std","rugarch",0,1,1,1,"sGARCH","std",TRUE,TRUE,-4.99705983029865,-4.97398282631349,0.0206961101785834,0.0991123808120048,0.14967778072671,"exploratory_only",TRUE,"",0.39,19,FALSE,"^FTSE"
"arma01_sgarch11_sstd","rugarch",0,1,1,1,"sGARCH","sstd",TRUE,TRUE,-5.01734434837734,-4.99042117706132,0.00273808019130861,0.117705073634674,0.636961111498736,"exploratory_only",FALSE,"residual_autocorrelation",0.42,,FALSE,"^FTSE"
"arma01_egarch11_std","rugarch",0,1,1,1,"eGARCH","std",TRUE,TRUE,-5.04138899942705,-5.01446582811104,0.0173004121172987,0.355175098230449,0.0702725441829104,"exploratory_only",TRUE,"",0.52,10,FALSE,"^FTSE"
"arma01_egarch11_sstd","rugarch",0,1,1,1,"eGARCH","sstd",TRUE,TRUE,-5.06730128579174,-5.03653194714487,0.0167187446743697,0.460986850334638,0.858563495050735,"exploratory_only",TRUE,"",0.84,2,FALSE,"^FTSE"
"arma01_gjrgarch11_std","rugarch",0,1,1,1,"gjrGARCH","std",TRUE,TRUE,-5.02866253308795,-5.00173936177194,0.0443785871291054,0.434686527322617,0.111276300887214,"exploratory_only",TRUE,"",0.42,13,FALSE,"^FTSE"
"arma01_gjrgarch11_sstd","rugarch",0,1,1,1,"gjrGARCH","sstd",TRUE,TRUE,-5.05338567025295,-5.02261633160608,0.0261517286488664,0.490142248176753,0.823256313408535,"exploratory_only",TRUE,"",0.770000000000001,5,FALSE,"^FTSE"
"arma10_sgarch11_std","rugarch",1,0,1,1,"sGARCH","std",TRUE,TRUE,-4.99677019204437,-4.97369318805922,0.0258807729449351,0.0989674334794425,0.169396599894969,"exploratory_only",TRUE,"",0.279999999999999,20,FALSE,"^FTSE"
"arma10_sgarch11_sstd","rugarch",1,0,1,1,"sGARCH","sstd",TRUE,TRUE,-5.01598441246866,-4.98906124115264,0.00828741967517699,0.118282208958925,0.505089068154761,"exploratory_only",FALSE,"residual_autocorrelation",0.390000000000001,,FALSE,"^FTSE"
"arma10_egarch11_std","rugarch",1,0,1,1,"eGARCH","std",TRUE,TRUE,-5.04140521365489,-5.01448204233888,0.0177256700861045,0.363518075507184,0.0731778302230401,"exploratory_only",TRUE,"",0.529999999999999,9,FALSE,"^FTSE"
"arma10_egarch11_sstd","rugarch",1,0,1,1,"eGARCH","sstd",TRUE,TRUE,-5.06714793873648,-5.03637860008961,0.019325211760059,0.481620517118297,0.867283992068297,"exploratory_only",TRUE,"",0.949999999999999,3,FALSE,"^FTSE"
"arma10_gjrgarch11_std","rugarch",1,0,1,1,"gjrGARCH","std",TRUE,TRUE,-5.028602220745,-5.00167904942899,0.0463067716459939,0.428047349407244,0.119993059335448,"exploratory_only",TRUE,"",0.530000000000001,14,FALSE,"^FTSE"
