"model","confidence","forecast_dates","observations","availability","missing_forecast_rows","model_failures","exceptions","exception_rate","expected_exception_rate","kupiec_p_value","independence_p_value","independence_status","transition_pairs","conditional_coverage_p_value","coverage_status","own_sample_quantile_loss","common_observations","quantile_loss","joint_common_observations","joint_score_observations","joint_score_availability","mean_joint_score","joint_score_status","average_var","average_es","average_loss_var","average_loss_es","tail_observations","mean_tail_loss","mean_es_forecast_on_exceedance","mean_exceedance_residual","runtime_seconds","rank","joint_score_rank"
"copula_student",0.95,520,520,1,0,0,24,0.0461538461538462,0.05,0.683658776549531,0.911607827823615,"ok",519,0.914681063725191,"green",0.00236137962261734,520,0.00236137962261734,520,520,1,-3.14379740226522,"ok",0.0316831708287367,0.0451758364977295,0.0316831708287367,0.0451758364977295,24,0.0448564692515145,0.0425207625813049,0.00233570667020959,652.269999999998,1,1
"copula_gaussian",0.95,520,520,1,0,0,24,0.0461538461538462,0.05,0.683658776549531,0.911607827823615,"ok",519,0.914681063725191,"green",0.00236284443136206,520,0.00236284443136206,520,520,1,-3.14277840026632,"ok",0.0317573185298521,0.0446938325069044,0.0317573185298521,0.0446938325069044,24,0.0448564692515145,0.0420639739203647,0.00279249533114986,567.589999999999,2,2
"copula_garch",0.95,520,520,1,0,0,23,0.0442307692307692,0.05,0.538420501643088,0.984021431897565,"ok",519,0.827423957707268,"green",0.00236869497883619,520,0.00236869497883619,520,520,1,-3.14108997048034,"ok",0.0323775230626214,0.0465064338742146,0.0323775230626214,0.0465064338742146,23,0.0457982364665229,0.0441974181220311,0.0016008183444918,647.64,3,3
"copula_bb1",0.95,520,520,1,0,0,23,0.0442307692307692,0.05,0.538420501643088,0.984021431897565,"ok",519,0.827423957707268,"green",0.00237059115952216,520,0.00237059115952216,520,520,1,-3.13954151851078,"ok",0.0325149501598097,0.0469962976797587,0.0325149501598097,0.0469962976797587,23,0.0457982364665229,0.0446090290606843,0.00118920740583859,688.189999999997,4,4
"copula_independence",0.95,520,520,1,0,0,43,0.0826923076923077,0.05,0.0016902530496565,0.739417857374601,"ok",519,0.00684184548879994,"red",0.00241639365440649,520,0.00241639365440649,520,520,1,-3.04130419635507,"ok",0.0242801475310905,0.0334294728423106,0.0242801475310905,0.0334294728423106,43,0.0363311038701693,0.0316747615790118,0.00465634229115749,566.659999999998,5,6
"garch_t",0.95,520,520,1,0,0,37,0.0711538461538462,0.05,0.0368883392672218,0.660572685445036,"ok",519,0.102879784439503,"green",0.00242004217344647,520,0.00242004217344647,520,520,1,-3.08125096478763,"ok",0.0273674563877019,0.0402557077718773,0.0273674563877019,0.0402557077718773,37,0.0392445436457731,0.0379248190044807,0.00131972464129243,52.0800000000004,6,5
"ewma",0.95,520,520,1,0,0,31,0.0596153846153846,0.05,0.328196681716192,0.405113870722444,"ok",519,0.438433435522359,"green",0.0025443696845626,520,0.0025443696845626,520,520,1,-2.90482545400156,"ok",0.0294895538429591,0.0373863679884498,0.0294895538429591,0.0373863679884498,31,0.0426572528167832,0.0331655272983619,0.00949172551842124,0.24000000000003,7,10
"filtered_historical",0.95,520,520,1,0,0,24,0.0461538461538462,0.05,0.683658776549531,0.112782471047619,"ok",519,0.261737170846559,"green",0.00258718691851439,520,0.00258718691851439,520,520,1,-2.9904124575345,"ok",0.0332980491358647,0.0527418789048726,0.0332980491358647,0.0527418789048726,24,0.0484844107572901,0.0478854988883155,0.000598911868974625,0.369999999999997,8,7
"student_t",0.95,520,520,1,0,0,23,0.0442307692307692,0.05,0.538420501643088,0.0156429274699758,"ok",519,0.0445775707125606,"amber",0.00264743473406143,520,0.00264743473406143,520,520,1,-2.93604091146973,"ok",0.0302887836133073,0.0479520388687486,0.0302887836133073,0.0479520388687486,23,0.0525385762783531,0.0458696359496414,0.00666894032871174,1.53999999999994,9,8
"historical",0.95,520,520,1,0,0,22,0.0423076923076923,0.05,0.40892571894899,0.069093759523646,"ok",519,0.136262703017543,"green",0.00269059705980801,520,0.00269059705980801,520,520,1,-2.93331847322153,"ok",0.0329765007850343,0.0546422215207515,0.0329765007850343,0.0546422215207515,22,0.0533656257935217,0.0522052118750323,0.00116041391848939,0.459999999999859,10,9
