"confidence","return_quantile","loss_var","loss_es","var","es","tail_observations","tail_effective_observations","method","n_simulations","seed"
0.95,-0.0238675747175099,0.0238675747175099,0.0346219534729959,0.0238675747175099,0.0346219534729959,50,50,"empirical",1000,104729
0.99,-0.0389081905373119,0.0389081905373119,0.0510650874895779,0.0389081905373119,0.0510650874895779,10,10,"empirical",1000,104729
0.95,-0.0235521814201993,0.0235521814201993,0.0367266435545282,0.0235521814201993,0.0367266435545282,50,50,"empirical",1000,130363
0.99,-0.0441952186933915,0.0441952186933915,0.0579369793859648,0.0441952186933915,0.0579369793859648,10,10,"empirical",1000,130363
0.95,-0.0195791080363743,0.0195791080363743,0.0315050621389104,0.0195791080363743,0.0315050621389104,50,50,"empirical",1000,155921
0.99,-0.0407219365230429,0.0407219365230429,0.0479592948708644,0.0407219365230429,0.0479592948708644,10,10,"empirical",1000,155921
0.95,-0.0250429572360464,0.0250429572360464,0.0359263786895994,0.0250429572360464,0.0359263786895994,50,50,"empirical",1000,196613
0.99,-0.0439007590667199,0.0439007590667199,0.0508753395947509,0.0439007590667199,0.0508753395947509,10,10,"empirical",1000,196613
0.95,-0.022769339763328,0.022769339763328,0.0330264051784683,0.022769339763328,0.0330264051784683,50,50,"empirical",1000,232003
0.99,-0.036319899246587,0.036319899246587,0.0496535581550896,0.036319899246587,0.0496535581550896,10,10,"empirical",1000,232003
0.95,-0.0233601288651031,0.0233601288651031,0.0333687372977001,0.0233601288651031,0.0333687372977001,100,100,"empirical",2000,104729
0.99,-0.0385905295485532,0.0385905295485532,0.0489692623109861,0.0385905295485532,0.0489692623109861,20,20,"empirical",2000,104729
0.95,-0.024317747508117,0.024317747508117,0.0361357119524849,0.024317747508117,0.0361357119524849,100,100,"empirical",2000,130363
0.99,-0.0424861744292017,0.0424861744292017,0.0558768589973034,0.0424861744292017,0.0558768589973034,20,20,"empirical",2000,130363
0.95,-0.0238174112587121,0.0238174112587121,0.0345705473961297,0.0238174112587121,0.0345705473961297,100,100,"empirical",2000,155921
0.99,-0.0411240491239618,0.0411240491239618,0.0517103489940245,0.0411240491239618,0.0517103489940245,20,20,"empirical",2000,155921
0.95,-0.0246442309056656,0.0246442309056656,0.0341017566281511,0.0246442309056656,0.0341017566281511,100,100,"empirical",2000,196613
0.99,-0.0395436920188201,0.0395436920188201,0.0476315580874644,0.0395436920188201,0.0476315580874644,20,20,"empirical",2000,196613
0.95,-0.0225266818188893,0.0225266818188893,0.0316261012330943,0.0225266818188893,0.0316261012330943,100,100,"empirical",2000,232003
0.99,-0.0366936330542928,0.0366936330542928,0.0473680967683606,0.0366936330542928,0.0473680967683606,20,20,"empirical",2000,232003
0.95,-0.0230403394484836,0.0230403394484836,0.0323735703797,0.0230403394484836,0.0323735703797,250,250,"empirical",5000,104729
0.99,-0.0379252373604066,0.0379252373604066,0.0460844340299425,0.0379252373604066,0.0460844340299425,50,50,"empirical",5000,104729
0.95,-0.0238867389255298,0.0238867389255298,0.0347507525768336,0.0238867389255298,0.0347507525768336,250,250,"empirical",5000,130363
