"n_simulations","confidence","mean_var","sd_var","range_var","mean_es","sd_es","range_es","repetitions","relative_var_change","relative_es_change"
1000,0.95,0.0220274116111557,0.00195242134967046,0.00513984555273486,0.0329390766821068,0.00202201624058166,0.00495492543092666,5,,
2000,0.95,0.0227130450578717,0.000809817935003295,0.00211709401530511,0.0325568054678191,0.00158573105144723,0.0043309855312875,5,0.0311263737573589,0.0116054016321394
5000,0.95,0.0223619492515532,0.000608765733342441,0.00157007828430284,0.0317746610368101,0.00117353942977895,0.00297516576392832,5,0.0154578923884464,0.0240239919049211
10000,0.95,0.0225899082760111,0.00059677984848654,0.00129158626090636,0.0318068267306743,0.00109261048973891,0.00282351587875986,5,0.0101940587510299,0.00101230643584083
20000,0.95,0.0226443829934837,0.000269829643399614,0.00056757504296201,0.0320383255185733,0.000609159155344615,0.00169054085290561,5,0.00241146253481942,0.00727827361902972
50000,0.95,0.0226854420307906,0.000192042056347733,0.000463462583053097,0.0320210261805023,0.000201744774601461,0.000508129159236981,5,0.00181321068976424,0.000539957622344779
100000,0.95,0.0225744735011155,8.71081568597042e-05,0.000233770852495541,0.0319012903499008,0.000178530651282858,0.00046938840847225,5,0.00489161857743393,0.00373928773945481
1000,0.99,0.0389739809444588,0.00307484588213329,0.00721011953519721,0.049312226264279,0.00357540623208156,0.0093126077633701,5,,
2000,0.99,0.0381213621112734,0.00220938882711248,0.0053076573336037,0.0481459025346894,0.00338581655441816,0.00807977975292958,5,0.0218766164636982,0.0236518165563836
5000,0.99,0.0370967924525433,0.00147454926576637,0.00354139405792334,0.0465892152318836,0.00247736078949565,0.00611834710371469,5,0.0268765228204457,0.0323327058140456
10000,0.99,0.0374265693425084,0.00118385021408766,0.00293800325460078,0.0465437109184869,0.00261352402492447,0.00639154522959993,5,0.0088896335279374,0.000976713455467768
20000,0.99,0.0376571761468455,0.00101904925897102,0.00264066963092122,0.0472524186359903,0.00157756130777334,0.00396047635054684,5,0.00616158008570815,0.0152267127720993
50000,0.99,0.0375217628605897,0.000349350599020259,0.000847961291253869,0.0470751700839688,0.000709414641485445,0.00199489242772864,5,0.00359594903578969,0.00375110009472615
100000,0.99,0.0373838034101518,0.000353012518663346,0.000850405931331184,0.0469942574763884,0.000537973437455617,0.00146211618509369,5,0.00367678488216304,0.00171879586278984
