"model","reference_model","confidence","score_type","forecast_dates","common_sample_fraction","observations","mean_loss_difference","ci_lower","ci_upper","p_value_bootstrap","block_length","bootstrap_replications","confidence_interval","seed","status","interpretation","p_value_holm"
"copula_bb1","garch_t",0.95,"quantile_loss",520,1,520,-4.94510139243068e-05,-0.000250476141050243,0.000115682933954865,0.5975,13,1999,0.95,901,"ok","inconclusive",1
"copula_garch","garch_t",0.95,"quantile_loss",520,1,520,-5.1347194610283e-05,-0.000242693495838887,0.00010879448285128,0.5565,13,1999,0.95,902,"ok","inconclusive",1
"copula_gaussian","garch_t",0.95,"quantile_loss",520,1,520,-5.71977420844129e-05,-0.000239472638983758,9.71286586671327e-05,0.502,13,1999,0.95,903,"ok","inconclusive",1
"copula_independence","garch_t",0.95,"quantile_loss",520,1,520,-3.64851903997743e-06,-0.000102172642089252,0.000102410923926265,0.9485,13,1999,0.95,904,"ok","inconclusive",1
"copula_student","garch_t",0.95,"quantile_loss",520,1,520,-5.86625508291264e-05,-0.000248821588818819,9.39633441883448e-05,0.4965,13,1999,0.95,905,"ok","inconclusive",1
"ewma","garch_t",0.95,"quantile_loss",520,1,520,0.000124327511116135,-2.18339614818884e-05,0.000302963048717962,0.1205,13,1999,0.95,906,"ok","inconclusive",1
"filtered_historical","garch_t",0.95,"quantile_loss",520,1,520,0.000167144745067924,1.55331959240972e-05,0.000337058638767165,0.042,13,1999,0.95,907,"ok","higher_loss_marginal_interval",1
"gaussian","garch_t",0.95,"quantile_loss",520,1,520,0.000276382703708477,-1.84654854723489e-05,0.000673907312100903,0.1095,13,1999,0.95,908,"ok","inconclusive",1
"historical","garch_t",0.95,"quantile_loss",520,1,520,0.000270554886361537,-2.62825198585435e-05,0.000627138323497493,0.1035,13,1999,0.95,909,"ok","inconclusive",1
"student_t","garch_t",0.95,"quantile_loss",520,1,520,0.000227392560614962,-6.87843575439545e-05,0.000635010128273775,0.197,13,1999,0.95,910,"ok","inconclusive",1
"copula_bb1","garch_t",0.95,"joint_var_es",520,1,520,-0.0582905537231482,-0.194074831715566,0.0666707619020934,0.3725,13,1999,0.95,911,"ok","inconclusive",1
"copula_garch","garch_t",0.95,"joint_var_es",520,1,520,-0.059839005692712,-0.206475913401849,0.0576432748787618,0.3805,13,1999,0.95,912,"ok","inconclusive",1
