"valuation_date","ticker","quote_date","stale_days","price"
2000-01-07,"^FTSE",2000-01-07,0,6504.7998046875
2000-01-14,"^FTSE",2000-01-14,0,6658.2001953125
2000-01-21,"^FTSE",2000-01-21,0,6346.2998046875
2000-01-28,"^FTSE",2000-01-28,0,6375.60009765625
2000-02-04,"^FTSE",2000-02-04,0,6185
2000-02-11,"^FTSE",2000-02-11,0,6193.2998046875
2000-02-18,"^FTSE",2000-02-18,0,6165
2000-02-25,"^FTSE",2000-02-25,0,6198
2000-03-03,"^FTSE",2000-03-03,0,6487.5
2000-03-10,"^FTSE",2000-03-10,0,6568.7001953125
2000-03-17,"^FTSE",2000-03-17,0,6558
2000-03-24,"^FTSE",2000-03-24,0,6738.5
2000-03-31,"^FTSE",2000-03-31,0,6540.2001953125
2000-04-07,"^FTSE",2000-04-07,0,6569.89990234375
2000-04-14,"^FTSE",2000-04-14,0,6178.10009765625
2000-04-21,"^FTSE",2000-04-20,1,6241.2001953125
2000-04-28,"^FTSE",2000-04-28,0,6327.39990234375
2000-05-05,"^FTSE",2000-05-05,0,6238.7998046875
2000-05-12,"^FTSE",2000-05-12,0,6283.5
2000-05-19,"^FTSE",2000-05-19,0,6045.39990234375
2000-05-26,"^FTSE",2000-05-26,0,6216.89990234375
2000-06-02,"^FTSE",2000-06-02,0,6626.39990234375
2000-06-09,"^FTSE",2000-06-09,0,6443.7998046875
2000-06-16,"^FTSE",2000-06-16,0,6526
2000-06-23,"^FTSE",2000-06-23,0,6391.5
2000-06-30,"^FTSE",2000-06-30,0,6312.7001953125
2000-07-07,"^FTSE",2000-07-07,0,6497.5
2000-07-14,"^FTSE",2000-07-14,0,6475.39990234375
2000-07-21,"^FTSE",2000-07-21,0,6378.39990234375
2000-07-28,"^FTSE",2000-07-28,0,6335.7001953125
2000-08-04,"^FTSE",2000-08-04,0,6363.5
2000-08-11,"^FTSE",2000-08-11,0,6384.5
2000-08-18,"^FTSE",2000-08-18,0,6543.7001953125
2000-08-25,"^FTSE",2000-08-25,0,6563.7001953125
2000-09-01,"^FTSE",2000-09-01,0,6795
2000-09-08,"^FTSE",2000-09-08,0,6600.7001953125
2000-09-15,"^FTSE",2000-09-15,0,6417.2998046875
2000-09-22,"^FTSE",2000-09-22,0,6205.89990234375
2000-09-29,"^FTSE",2000-09-29,0,6294.2001953125
2000-10-06,"^FTSE",2000-10-06,0,6391.2001953125
2000-10-13,"^FTSE",2000-10-13,0,6209.60009765625
2000-10-20,"^FTSE",2000-10-20,0,6276.2998046875
2000-10-27,"^FTSE",2000-10-27,0,6366.60009765625
2000-11-03,"^FTSE",2000-11-03,0,6385.39990234375
2000-11-10,"^FTSE",2000-11-10,0,6400.2001953125
2000-11-17,"^FTSE",2000-11-17,0,6440.10009765625
2000-11-24,"^FTSE",2000-11-24,0,6327.60009765625
2000-12-01,"^FTSE",2000-12-01,0,6170.39990234375
